1Ne.repl1	F20 R1
2Ne.repl1	F20 R2
3Ne.repl1	F20 R3
4Ne.repl1	F20 R4
5Ne.repl1	F20 R5
6Ne.repl1	F20 R6
7Ne.repl1	F20 R7
8Ne.repl1	F20 R8
9Ne.repl1	F20 R9
10Ne.repl1	F20 R10
11Ne.repl1	F20 R11
12Ne.repl1	F20 R12
13Ne.repl1	F21 R1
14Ne.repl1	F21 R2
15Ne.repl1	F21 R3
16Ne.repl1	F21 R4
17Ne.repl1	F21 R5
18Ne.repl1	F21 R6
19Ne.repl1	F21 R7
20Ne.repl1	F21 R8
21Ne.repl1	F21 R9
22Ne.repl1	F21 R10
23Ne.repl1	F21 R11
24Ne.repl1	F21 R12
25Ne.repl1	F20 R13
26Ne.repl1	F21 R14
27Ne.repl1	F21 R15
1Ne.repl2	F22 R1
2Ne.repl2	F22 R2
3Ne.repl2	F22 R3
4Ne.repl2	F22 R4
5Ne.repl2	F22 R5
6Ne.repl2	F22 R6
7Ne.repl2	F22 R7
8Ne.repl2	F22 R8
9Ne.repl2	F22 R9
10Ne.repl2	F22 R10
11Ne.repl2	F22 R11
12Ne.repl2	F22 R12
13Ne.repl2	F23 R1
14Ne.repl2	F23 R2
15Ne.repl2	F23 R3
16Ne.repl2	F23 R4
17Ne.repl2	F23 R5
18Ne.repl2	F23 R6
19Ne.repl2	F23 R7
20Ne.repl2	F23 R8
21Ne.repl2	F23 R9
22Ne.repl2	F23 R10
23Ne.repl2	F23 R11
24Ne.repl2	F23 R12
25Ne.repl2	F20 R14
26Ne.repl2	F23 R14
27Ne.repl2	F23 R15
Other1.repl1	F15 R4
Other1.repl1	F15 R5
Ot her1	F15 R5
ncEXT	F22 R13
nc PCR	F22 R14
